season,matchweek,home_club,away_club,final_score,goal_club,goal_score,goal_scorer,minute
2017-2018,12,Bournemouth,Huddersfield,4:0,home,1:0,Callum Wilson,26
2017-2018,12,Bournemouth,Huddersfield,4:0,home,2:0,Callum Wilson,31
2017-2018,12,Bournemouth,Huddersfield,4:0,home,3:0,Harry Arter,69
2017-2018,12,Bournemouth,Huddersfield,4:0,home,4:0,Callum Wilson,84
2017-2018,12,Burnley,Swansea,2:0,home,1:0,Jack Cork,29
2017-2018,12,Burnley,Swansea,2:0,home,2:0,Ashley Barnes,40
2017-2018,12,Crystal Palace,Everton,2:2,home,1:0,James McArthur,1
2017-2018,12,Crystal Palace,Everton,2:2,away,1:1,Leighton Baines,6
2017-2018,12,Crystal Palace,Everton,2:2,home,2:1,Wilfried Zaha,35
2017-2018,12,Crystal Palace,Everton,2:2,away,2:2,Oumar Niasse,45+1
2017-2018,12,Leicester,Man City,0:2,away,0:1,Gabriel Jesus,45
2017-2018,12,Leicester,Man City,0:2,away,0:2,Kevin De Bruyne,49
2017-2018,12,Liverpool,Southampton,3:0,home,1:0,Mohamed Salah,31
2017-2018,12,Liverpool,Southampton,3:0,home,2:0,Mohamed Salah,41
2017-2018,12,Liverpool,Southampton,3:0,home,3:0,Philippe Coutinho,68
2017-2018,12,West Brom,Chelsea,0:4,away,0:1,Alvaro Morata,17
2017-2018,12,West Brom,Chelsea,0:4,away,0:2,Eden Hazard,23
2017-2018,12,West Brom,Chelsea,0:4,away,0:3,Marcos Alonso,38
2017-2018,12,West Brom,Chelsea,0:4,away,0:4,Eden Hazard,62
2017-2018,12,Man Utd,Newcastle,4:1,away,0:1,Dwight Gayle,14
2017-2018,12,Man Utd,Newcastle,4:1,home,1:1,Anthony Martial,37
2017-2018,12,Man Utd,Newcastle,4:1,home,2:1,Chris Smalling,45+1
2017-2018,12,Man Utd,Newcastle,4:1,home,3:1,Paul Pogba,54
2017-2018,12,Man Utd,Newcastle,4:1,home,4:1,Romelu Lukaku,70
2017-2018,12,Watford,West Ham,2:0,home,1:0,Will Hughes,11
2017-2018,12,Watford,West Ham,2:0,home,2:0,Richarlison,64
2017-2018,12,Brighton,Stoke City,2:2,away,0:1,Eric Maxim Choupo Moting,28
2017-2018,12,Brighton,Stoke City,2:2,home,1:1,Pascal Gross,44
2017-2018,12,Brighton,Stoke City,2:2,away,1:2,Kurt Zouma,45+1
2017-2018,12,Brighton,Stoke City,2:2,home,2:2,Jose Izquierdo,60
2017-2018,13,West Ham,Leicester,1:1,away,0:1,Marc Albrighton,8
2017-2018,13,West Ham,Leicester,1:1,home,1:1,Cheikhou Kouyate,45
2017-2018,13,Crystal Palace,Stoke City,2:1,away,0:1,Xherdan Shaqiri,53
2017-2018,13,Crystal Palace,Stoke City,2:1,home,1:1,Ruben Loftus Cheek,56
2017-2018,13,Crystal Palace,Stoke City,2:1,home,2:1,Mamadou Sakho,90+2
2017-2018,13,Man Utd,Brighton,1:0,home,1:0,Lewis Dunk,66
2017-2018,13,Newcastle,Watford,0:3,away,0:1,Will Hughes,19
2017-2018,13,Newcastle,Watford,0:3,away,0:2,DeAndre Yedlin,45+1
2017-2018,13,Newcastle,Watford,0:3,away,0:3,Andre Gray,62
2017-2018,13,Spurs,West Brom,1:1,away,0:1,Salomon Rondon,4
2017-2018,13,Spurs,West Brom,1:1,home,1:1,Harry Kane,74
2017-2018,13,Liverpool,Chelsea,1:1,home,1:0,Mohamed Salah,65
2017-2018,13,Liverpool,Chelsea,1:1,away,1:1,Willian,85
2017-2018,13,Southampton,Everton,4:1,home,1:0,Dusan Tadic,18
2017-2018,13,Southampton,Everton,4:1,away,1:1,Gylfi Sigurdsson,45
2017-2018,13,Southampton,Everton,4:1,home,2:1,Charlie Austin,52
2017-2018,13,Southampton,Everton,4:1,home,3:1,Charlie Austin,58
2017-2018,13,Southampton,Everton,4:1,home,4:1,Steven Davis,87
2017-2018,13,Burnley,Arsenal,0:1,away,0:1,Alexis Sanchez,90+2
2017-2018,13,Huddersfield,Man City,1:2,home,1:0,Nicolas Otamendi,45+1
2017-2018,13,Huddersfield,Man City,1:2,away,1:1,Sergio Aguero,47
2017-2018,13,Huddersfield,Man City,1:2,away,1:2,Raheem Sterling,84
2017-2018,14,Leicester,Spurs,2:1,home,1:0,Jamie Vardy,13
2017-2018,14,Leicester,Spurs,2:1,home,2:0,Riyad Mahrez,45+1
2017-2018,14,Leicester,Spurs,2:1,away,2:1,Harry Kane,79
2017-2018,14,Watford,Man Utd,2:4,away,0:1,Ashley Young,19
2017-2018,14,Watford,Man Utd,2:4,away,0:2,Ashley Young,25
2017-2018,14,Watford,Man Utd,2:4,away,0:3,Anthony Martial,32
2017-2018,14,Watford,Man Utd,2:4,home,1:3,Troy Deeney,77
2017-2018,14,Watford,Man Utd,2:4,home,2:3,Abdoulaye Doucoure,84
2017-2018,14,Watford,Man Utd,2:4,away,2:4,Jesse Lingard,86
2017-2018,14,West Brom,Newcastle,2:2,home,1:0,Hal Robson Kanu,45+1
2017-2018,14,West Brom,Newcastle,2:2,home,2:0,Sam Field,56
2017-2018,14,West Brom,Newcastle,2:2,away,2:1,Ciaran Clark,59
2017-2018,14,West Brom,Newcastle,2:2,away,2:2,Jonny Evans,83
2017-2018,14,Bournemouth,Burnley,1:2,away,0:1,Chris Wood,37
2017-2018,14,Bournemouth,Burnley,1:2,away,0:2,Robbie Brady,65
2017-2018,14,Bournemouth,Burnley,1:2,home,1:2,Joshua King,79
2017-2018,14,Arsenal,Huddersfield,5:0,home,1:0,Alexandre Lacazette,3
2017-2018,14,Arsenal,Huddersfield,5:0,home,2:0,Olivier Giroud,68
2017-2018,14,Arsenal,Huddersfield,5:0,home,3:0,Alexis Sanchez,69
2017-2018,14,Arsenal,Huddersfield,5:0,home,4:0,Mesut Ozil,72
2017-2018,14,Arsenal,Huddersfield,5:0,home,5:0,Olivier Giroud,87
2017-2018,14,Chelsea,Swansea,1:0,home,1:0,Antonio Rudiger,55
2017-2018,14,Everton,West Ham,4:0,home,1:0,Wayne Rooney,18
2017-2018,14,Everton,West Ham,4:0,home,2:0,Wayne Rooney,28
2017-2018,14,Everton,West Ham,4:0,home,3:0,Wayne Rooney,66
2017-2018,14,Everton,West Ham,4:0,home,4:0,Ashley Williams,78
2017-2018,14,Man City,Southampton,2:1,home,1:0,Kevin De Bruyne,47
2017-2018,14,Man City,Southampton,2:1,away,1:1,Oriol Romeu,75
2017-2018,14,Man City,Southampton,2:1,home,2:1,Raheem Sterling,90+6
2017-2018,14,Stoke City,Liverpool,0:3,away,0:1,Sadio Mane,17
2017-2018,14,Stoke City,Liverpool,0:3,away,0:2,Mohamed Salah,77
2017-2018,14,Stoke City,Liverpool,0:3,away,0:3,Mohamed Salah,83
2017-2018,15,Chelsea,Newcastle,3:1,away,0:1,Dwight Gayle,12
2017-2018,15,Chelsea,Newcastle,3:1,home,1:1,Eden Hazard,21
2017-2018,15,Chelsea,Newcastle,3:1,home,2:1,Alvaro Morata,33
2017-2018,15,Chelsea,Newcastle,3:1,home,3:1,Eden Hazard,74
2017-2018,15,Brighton,Liverpool,1:5,away,0:1,Emre can,30
2017-2018,15,Brighton,Liverpool,1:5,away,0:2,Roberto Firmino,31
2017-2018,15,Brighton,Liverpool,1:5,away,0:3,Roberto Firmino,48
2017-2018,15,Brighton,Liverpool,1:5,home,1:3,Glenn Murray,51
2017-2018,15,Brighton,Liverpool,1:5,away,1:4,Philippe Coutinho,87
2017-2018,15,Brighton,Liverpool,1:5,away,1:5,Lewis Dunk,89
2017-2018,15,Everton,Huddersfield,2:0,home,1:0,Gylfi Sigurdsson,47
2017-2018,15,Everton,Huddersfield,2:0,home,2:0,Dominic Calvert Lewin,73
2017-2018,15,Leicester,Burnley,1:0,home,1:0,Demarai Gray,6
2017-2018,15,Stoke City,Swansea,2:1,away,0:1,Wilfried Bony,3
2017-2018,15,Stoke City,Swansea,2:1,home,1:1,Xherdan Shaqiri,36
2017-2018,15,Stoke City,Swansea,2:1,home,2:1,Mame Diouf,40
2017-2018,15,Watford,Spurs,1:1,home,1:0,Christian Kabasele,13
2017-2018,15,Watford,Spurs,1:1,away,1:1,Heung Min Son,25
2017-2018,15,Arsenal,Man Utd,1:3,away,0:1,Antonio Valencia,4
2017-2018,15,Arsenal,Man Utd,1:3,away,0:2,Jesse Lingard,11
2017-2018,15,Arsenal,Man Utd,1:3,home,1:2,Alexandre Lacazette,49
2017-2018,15,Arsenal,Man Utd,1:3,away,1:3,Jesse Lingard,63
2017-2018,15,Bournemouth,Southampton,1:1,home,1:0,Ryan Fraser,42
2017-2018,15,Bournemouth,Southampton,1:1,away,1:1,Charlie Austin,61
2017-2018,15,Man City,West Ham,2:1,away,0:1,Angelo Ogbonna,44
2017-2018,15,Man City,West Ham,2:1,home,1:1,Nicolas Otamendi,57
2017-2018,15,Man City,West Ham,2:1,home,2:1,David Silva,83
2017-2018,16,West Ham,Chelsea,1:0,home,1:0,Marko Arnautovic,6
2017-2018,16,Burnley,Watford,1:0,home,1:0,Scott Arfield,45
2017-2018,16,Crystal Palace,Bournemouth,2:2,away,0:1,Jermain Defoe,10
2017-2018,16,Crystal Palace,Bournemouth,2:2,home,1:1,Luka Milivojevic,41
2017-2018,16,Crystal Palace,Bournemouth,2:2,home,2:1,Scott Dann,44
2017-2018,16,Crystal Palace,Bournemouth,2:2,away,2:2,Jermain Defoe,45+3
2017-2018,16,Huddersfield,Brighton,2:0,home,1:0,Steve Mounie,12
2017-2018,16,Huddersfield,Brighton,2:0,home,2:0,Steve Mounie,43
2017-2018,16,Swansea,West Brom,1:0,home,1:0,Wilfried Bony,81
2017-2018,16,Spurs,Stoke City,5:1,home,1:0,Ryan Shawcross,21
2017-2018,16,Spurs,Stoke City,5:1,home,2:0,Heung Min Son,53
2017-2018,16,Spurs,Stoke City,5:1,home,3:0,Harry Kane,54
2017-2018,16,Spurs,Stoke City,5:1,home,4:0,Harry Kane,65
2017-2018,16,Spurs,Stoke City,5:1,home,5:0,Christian Eriksen,74
2017-2018,16,Spurs,Stoke City,5:1,away,5:1,Ryan Shawcross,80
2017-2018,16,Newcastle,Leicester,2:3,home,1:0,Joselu,4
2017-2018,16,Newcastle,Leicester,2:3,away,1:1,Riyad Mahrez,20
2017-2018,16,Newcastle,Leicester,2:3,away,1:2,Demarai Gray,60
2017-2018,16,Newcastle,Leicester,2:3,home,2:2,Dwight Gayle,73
2017-2018,16,Newcastle,Leicester,2:3,away,2:3,Ayoze Perez,86
2017-2018,16,Southampton,Arsenal,1:1,home,1:0,Charlie Austin,3
2017-2018,16,Southampton,Arsenal,1:1,away,1:1,Olivier Giroud,88
2017-2018,16,Liverpool,Everton,1:1,home,1:0,Mohamed Salah,42
2017-2018,16,Liverpool,Everton,1:1,away,1:1,Wayne Rooney,77
2017-2018,16,Man Utd,Man City,1:2,away,0:1,David Silva,43
2017-2018,16,Man Utd,Man City,1:2,home,1:1,Marcus Rashford,45+2
2017-2018,16,Man Utd,Man City,1:2,away,1:2,Nicolas Otamendi,54
2017-2018,17,Burnley,Stoke City,1:0,home,1:0,Ashley Barnes,89
2017-2018,17,Crystal Palace,Watford,2:1,away,0:1,Daryl Janmaat,3
2017-2018,17,Crystal Palace,Watford,2:1,home,1:1,Bakary Sako,89
2017-2018,17,Crystal Palace,Watford,2:1,home,2:1,James McArthur,90+2
2017-2018,17,Huddersfield,Chelsea,1:3,away,0:1,Tiemoue Bakayoko,23
2017-2018,17,Huddersfield,Chelsea,1:3,away,0:2,Willian,43
2017-2018,17,Huddersfield,Chelsea,1:3,away,0:3,Pedro,50
2017-2018,17,Huddersfield,Chelsea,1:3,home,1:3,Laurent Depoitre,90+2
2017-2018,17,Swansea,Man City,0:4,away,0:1,David Silva,27
2017-2018,17,Swansea,Man City,0:4,away,0:2,Kevin De Bruyne,34
2017-2018,17,Swansea,Man City,0:4,away,0:3,David Silva,53
2017-2018,17,Swansea,Man City,0:4,away,0:4,Sergio Aguero,85
2017-2018,17,Newcastle,Everton,0:1,away,0:1,Wayne Rooney,27
2017-2018,17,Southampton,Leicester,1:4,away,0:1,Riyad Mahrez,11
2017-2018,17,Southampton,Leicester,1:4,away,0:2,Shinji Okazaki,32
2017-2018,17,Southampton,Leicester,1:4,away,0:3,Andy King,38
2017-2018,17,Southampton,Leicester,1:4,home,1:3,Maya Yoshida,61
2017-2018,17,Southampton,Leicester,1:4,away,1:4,Shinji Okazaki,69
2017-2018,17,Man Utd,Bournemouth,1:0,home,1:0,Romelu Lukaku,25
2017-2018,17,Spurs,Brighton,2:0,home,1:0,Serge Aurier,40
2017-2018,17,Spurs,Brighton,2:0,home,2:0,Heung Min Son,87
2017-2018,18,Leicester,Crystal Palace,0:3,away,0:1,Christian Benteke,19
2017-2018,18,Leicester,Crystal Palace,0:3,away,0:2,Wilfried Zaha,40
2017-2018,18,Leicester,Crystal Palace,0:3,away,0:3,Bakary Sako,90+4
2017-2018,18,Arsenal,Newcastle,1:0,home,1:0,Mesut Ozil,23
2017-2018,18,Chelsea,Southampton,1:0,home,1:0,Marcos Alonso,45+3
2017-2018,18,Watford,Huddersfield,1:4,away,0:1,Elias Kachunga,6
2017-2018,18,Watford,Huddersfield,1:4,away,0:2,Aaron Mooy,23
2017-2018,18,Watford,Huddersfield,1:4,away,0:3,Laurent Depoitre,50
2017-2018,18,Watford,Huddersfield,1:4,home,1:3,Abdoulaye Doucoure,68
2017-2018,18,Watford,Huddersfield,1:4,away,1:4,Aaron Mooy,89
2017-2018,18,Stoke City,West Ham,0:3,away,0:1,Mark Noble,19
2017-2018,18,Stoke City,West Ham,0:3,away,0:2,Marko Arnautovic,75
2017-2018,18,Stoke City,West Ham,0:3,away,0:3,Diafra Sakho,86
2017-2018,18,Man City,Spurs,4:1,home,1:0,Ilkay Gundogan,14
2017-2018,18,Man City,Spurs,4:1,home,2:0,Kevin De Bruyne,70
2017-2018,18,Man City,Spurs,4:1,home,3:0,Raheem Sterling,80
2017-2018,18,Man City,Spurs,4:1,home,4:0,Raheem Sterling,90
2017-2018,18,Man City,Spurs,4:1,away,4:1,Christian Eriksen,90+3
2017-2018,18,West Brom,Man Utd,1:2,away,0:1,Romelu Lukaku,27
2017-2018,18,West Brom,Man Utd,1:2,away,0:2,Jesse Lingard,35
2017-2018,18,West Brom,Man Utd,1:2,home,1:2,Gareth Barry,77
2017-2018,18,Bournemouth,Liverpool,0:4,away,0:1,Philippe Coutinho,20
2017-2018,18,Bournemouth,Liverpool,0:4,away,0:2,Dejan Lovren,26
2017-2018,18,Bournemouth,Liverpool,0:4,away,0:3,Mohamed Salah,44
2017-2018,18,Bournemouth,Liverpool,0:4,away,0:4,Roberto Firmino,66
2017-2018,18,Everton,Swansea,3:1,away,0:1,Leroy Fer,35
2017-2018,18,Everton,Swansea,3:1,home,1:1,Dominic Calvert Lewin,45+2
2017-2018,18,Everton,Swansea,3:1,home,2:1,Gylfi Sigurdsson,64
2017-2018,18,Everton,Swansea,3:1,home,3:1,Wayne Rooney,73
2017-2018,19,Arsenal,Liverpool,3:3,away,0:1,Philippe Coutinho,26
2017-2018,19,Arsenal,Liverpool,3:3,away,0:2,Mohamed Salah,52
2017-2018,19,Arsenal,Liverpool,3:3,home,1:2,Alexis Sanchez,53
2017-2018,19,Arsenal,Liverpool,3:3,home,2:2,Granit Xhaka,56
2017-2018,19,Arsenal,Liverpool,3:3,home,3:2,Mesut Ozil,58
2017-2018,19,Arsenal,Liverpool,3:3,away,3:3,Roberto Firmino,71
2017-2018,19,Brighton,Watford,1:0,home,1:0,Pascal Gross,64
2017-2018,19,Man City,Bournemouth,4:0,home,1:0,Sergio Aguero,27
2017-2018,19,Man City,Bournemouth,4:0,home,2:0,Raheem Sterling,53
2017-2018,19,Man City,Bournemouth,4:0,home,3:0,Sergio Aguero,79
2017-2018,19,Man City,Bournemouth,4:0,home,4:0,Danilo,85
2017-2018,19,Southampton,Huddersfield,1:1,home,1:0,Charlie Austin,24
2017-2018,19,Southampton,Huddersfield,1:1,away,1:1,Laurent Depoitre,64
2017-2018,19,Stoke City,West Brom,3:1,home,1:0,Joe Allen,19
2017-2018,19,Stoke City,West Brom,3:1,home,2:0,Eric Maxim Choupo Moting,45+2
2017-2018,19,Stoke City,West Brom,3:1,away,2:1,Salomon Rondon,51
2017-2018,19,Stoke City,West Brom,3:1,home,3:1,Ramadan Sobhi,90+5
2017-2018,19,Swansea,Crystal Palace,1:1,away,0:1,Luka Milivojevic,59
2017-2018,19,Swansea,Crystal Palace,1:1,home,1:1,Jordan Ayew,77
2017-2018,19,West Ham,Newcastle,2:3,home,1:0,Marko Arnautovic,6
2017-2018,19,West Ham,Newcastle,2:3,away,1:1,Henri Saivet,10
2017-2018,19,West Ham,Newcastle,2:3,away,1:2,Mohamed Diame,53
2017-2018,19,West Ham,Newcastle,2:3,away,1:3,Christian Atsu,61
2017-2018,19,West Ham,Newcastle,2:3,home,2:3,Andre Ayew,69
2017-2018,19,Burnley,Spurs,0:3,away,0:1,Harry Kane,7
2017-2018,19,Burnley,Spurs,0:3,away,0:2,Harry Kane,69
2017-2018,19,Burnley,Spurs,0:3,away,0:3,Harry Kane,79
2017-2018,19,Leicester,Man Utd,2:2,home,1:0,Jamie Vardy,27
2017-2018,19,Leicester,Man Utd,2:2,away,1:1,Juan Mata,40
2017-2018,19,Leicester,Man Utd,2:2,away,1:2,Juan Mata,60
2017-2018,19,Leicester,Man Utd,2:2,home,2:2,Harry Maguire,90+3
2017-2018,20,Spurs,Southampton,5:2,home,1:0,Harry Kane,22
2017-2018,20,Spurs,Southampton,5:2,home,2:0,Harry Kane,39
2017-2018,20,Spurs,Southampton,5:2,home,3:0,Dele Alli,49
2017-2018,20,Spurs,Southampton,5:2,home,4:0,Heung Min Son,51
2017-2018,20,Spurs,Southampton,5:2,away,4:1,Sofiane Boufal,64
2017-2018,20,Spurs,Southampton,5:2,home,5:1,Harry Kane,67
2017-2018,20,Spurs,Southampton,5:2,away,5:2,Dusan Tadic,82
2017-2018,20,Bournemouth,West Ham,3:3,away,0:1,James Collins,7
2017-2018,20,Bournemouth,West Ham,3:3,home,1:1,Dan Gosling,29
2017-2018,20,Bournemouth,West Ham,3:3,home,2:1,Nathan Ake,57
2017-2018,20,Bournemouth,West Ham,3:3,away,2:2,Marko Arnautovic,81
2017-2018,20,Bournemouth,West Ham,3:3,away,2:3,Marko Arnautovic,89
2017-2018,20,Bournemouth,West Ham,3:3,home,3:3,Callum Wilson,90+3
2017-2018,20,Chelsea,Brighton,2:0,home,1:0,Alvaro Morata,46
2017-2018,20,Chelsea,Brighton,2:0,home,2:0,Marcos Alonso,60
2017-2018,20,Huddersfield,Stoke City,1:1,home,1:0,Tom Ince,10
2017-2018,20,Huddersfield,Stoke City,1:1,away,1:1,Ramadan Sobhi,60
2017-2018,20,Man Utd,Burnley,2:2,away,0:1,Ashley Barnes,3
2017-2018,20,Man Utd,Burnley,2:2,away,0:2,Steven Defour,36
2017-2018,20,Man Utd,Burnley,2:2,home,1:2,Jesse Lingard,53
2017-2018,20,Man Utd,Burnley,2:2,home,2:2,Jesse Lingard,90+1
2017-2018,20,Watford,Leicester,2:1,away,0:1,Riyad Mahrez,37
2017-2018,20,Watford,Leicester,2:1,home,1:1,Molla Wague,45
2017-2018,20,Watford,Leicester,2:1,home,2:1,Kasper Schmeichel,65
2017-2018,20,Liverpool,Swansea,5:0,home,1:0,Philippe Coutinho,6
2017-2018,20,Liverpool,Swansea,5:0,home,2:0,Roberto Firmino,52
2017-2018,20,Liverpool,Swansea,5:0,home,3:0,Trent Alexander Arnold,65
2017-2018,20,Liverpool,Swansea,5:0,home,4:0,Roberto Firmino,66
2017-2018,20,Liverpool,Swansea,5:0,home,5:0,Alex Oxlade Chamberlain,82
2017-2018,20,Newcastle,Man City,0:1,away,0:1,Raheem Sterling,31
2017-2018,20,Crystal Palace,Arsenal,2:3,away,0:1,Shkodran Mustafi,25
2017-2018,20,Crystal Palace,Arsenal,2:3,home,1:1,Andros Townsend,49
2017-2018,20,Crystal Palace,Arsenal,2:3,away,1:2,Alexis Sanchez,62
2017-2018,20,Crystal Palace,Arsenal,2:3,away,1:3,Alexis Sanchez,66
2017-2018,20,Crystal Palace,Arsenal,2:3,home,2:3,James Tomkins,89
2017-2018,21,Bournemouth,Everton,2:1,home,1:0,Ryan Fraser,33
2017-2018,21,Bournemouth,Everton,2:1,away,1:1,Idrissa Gueye,57
2017-2018,21,Bournemouth,Everton,2:1,home,2:1,Ryan Fraser,88
2017-2018,21,Chelsea,Stoke City,5:0,home,1:0,Antonio Rudiger,3
2017-2018,21,Chelsea,Stoke City,5:0,home,2:0,Danny Drinkwater,9
2017-2018,21,Chelsea,Stoke City,5:0,home,3:0,Pedro,23
2017-2018,21,Chelsea,Stoke City,5:0,home,4:0,Willian,73
2017-2018,21,Chelsea,Stoke City,5:0,home,5:0,Davide Zappacosta,88
2017-2018,21,Liverpool,Leicester,2:1,away,0:1,Jamie Vardy,3
2017-2018,21,Liverpool,Leicester,2:1,home,1:1,Mohamed Salah,52
2017-2018,21,Liverpool,Leicester,2:1,home,2:1,Mohamed Salah,76
2017-2018,21,Watford,Swansea,1:2,home,1:0,Andre Carrillo,11
2017-2018,21,Watford,Swansea,1:2,away,1:1,Jordan Ayew,86
2017-2018,21,Watford,Swansea,1:2,away,1:2,Luciano Narsingh,90
2017-2018,21,West Brom,Arsenal,1:1,away,0:1,James McClean,83
2017-2018,21,West Brom,Arsenal,1:1,home,1:1,Jay Rodriguez,89
2017-2018,21,Spurs,West Ham,1:1,away,0:1,Pedro Obiang,70
2017-2018,21,Spurs,West Ham,1:1,home,1:1,Heung Min Son,84
2017-2018,22,Brighton,Bournemouth,2:2,home,1:0,Anthony Knockaert,5
2017-2018,22,Brighton,Bournemouth,2:2,away,1:1,Steve Cook,33
2017-2018,22,Brighton,Bournemouth,2:2,home,2:1,Glenn Murray,48
2017-2018,22,Brighton,Bournemouth,2:2,away,2:2,Callum Wilson,79
2017-2018,22,Burnley,Liverpool,1:2,away,0:1,Sadio Mane,61
2017-2018,22,Burnley,Liverpool,1:2,home,1:1,Johann Berg Gudmundsson,87
2017-2018,22,Burnley,Liverpool,1:2,away,1:2,Ragnar Klavan,90+4
2017-2018,22,Leicester,Huddersfield,3:0,home,1:0,Riyad Mahrez,53
2017-2018,22,Leicester,Huddersfield,3:0,home,2:0,Islam Slimani,60
2017-2018,22,Leicester,Huddersfield,3:0,home,3:0,Marc Albrighton,90+2
2017-2018,22,Stoke City,Newcastle,0:1,away,0:1,Ayoze Perez,73
2017-2018,22,Everton,Man Utd,0:2,away,0:1,Anthony Martial,57
2017-2018,22,Everton,Man Utd,0:2,away,0:2,Jesse Lingard,81
2017-2018,22,Southampton,Crystal Palace,1:2,home,1:0,Shane Long,17
2017-2018,22,Southampton,Crystal Palace,1:2,away,1:1,James McArthur,69
2017-2018,22,Southampton,Crystal Palace,1:2,away,1:2,Luka Milivojevic,80
2017-2018,22,Swansea,Spurs,0:2,away,0:1,Fernando Llorente,12
2017-2018,22,Swansea,Spurs,0:2,away,0:2,Dele Alli,89
2017-2018,22,West Ham,West Brom,2:1,away,0:1,James McClean,30
2017-2018,22,West Ham,West Brom,2:1,home,1:1,Andy Carroll,59
2017-2018,22,West Ham,West Brom,2:1,home,2:1,Andy Carroll,90+4
2017-2018,22,Man City,Watford,3:1,home,1:0,Raheem Sterling,1
2017-2018,22,Man City,Watford,3:1,home,2:0,Christian Kabasele,13
2017-2018,22,Man City,Watford,3:1,home,3:0,Sergio Aguero,63
2017-2018,22,Man City,Watford,3:1,away,3:1,Andre Gray,82
2017-2018,22,Arsenal,Chelsea,2:2,home,1:0,Jack Wilshere,63
2017-2018,22,Arsenal,Chelsea,2:2,away,1:1,Eden Hazard,67
2017-2018,22,Arsenal,Chelsea,2:2,away,1:2,Marcos Alonso,84
2017-2018,22,Arsenal,Chelsea,2:2,home,2:2,Hector Bellerin,90+2
2017-2018,23,Crystal Palace,Burnley,1:0,home,1:0,Bakary Sako,21
2017-2018,23,Huddersfield,West Ham,1:4,away,0:1,Mark Noble,25
2017-2018,23,Huddersfield,West Ham,1:4,home,1:1,Joe Lolley,40
2017-2018,23,Huddersfield,West Ham,1:4,away,1:2,Marko Arnautovic,46
2017-2018,23,Huddersfield,West Ham,1:4,away,1:3,Manuel Lanzini,56
2017-2018,23,Huddersfield,West Ham,1:4,away,1:4,Manuel Lanzini,61
2017-2018,23,Newcastle,Swansea,1:1,away,0:1,Jordan Ayew,60
2017-2018,23,Newcastle,Swansea,1:1,home,1:1,Joselu,68
2017-2018,23,Watford,Southampton,2:2,away,0:1,James Ward Prowse,22
2017-2018,23,Watford,Southampton,2:2,away,0:2,James Ward Prowse,44
2017-2018,23,Watford,Southampton,2:2,home,1:2,Andre Gray,58
2017-2018,23,Watford,Southampton,2:2,home,2:2,Abdoulaye Doucoure,90
2017-2018,23,West Brom,Brighton,2:0,home,1:0,Jonny Evans,4
2017-2018,23,West Brom,Brighton,2:0,home,2:0,Craig Dawson,55
2017-2018,23,Spurs,Everton,4:0,home,1:0,Heung Min Son,26
2017-2018,23,Spurs,Everton,4:0,home,2:0,Harry Kane,47
2017-2018,23,Spurs,Everton,4:0,home,3:0,Harry Kane,59
2017-2018,23,Spurs,Everton,4:0,home,4:0,Christian Eriksen,81
2017-2018,23,Bournemouth,Arsenal,2:1,away,0:1,Hector Bellerin,52
2017-2018,23,Bournemouth,Arsenal,2:1,home,1:1,Callum Wilson,70
2017-2018,23,Bournemouth,Arsenal,2:1,home,2:1,Jordon Ibe,74
2017-2018,23,Liverpool,Man City,4:3,home,1:0,Alex Oxlade Chamberlain,9
2017-2018,23,Liverpool,Man City,4:3,away,1:1,Leroy Sane,40
2017-2018,23,Liverpool,Man City,4:3,home,2:1,Roberto Firmino,59
2017-2018,23,Liverpool,Man City,4:3,home,3:1,Sadio Mane,61
2017-2018,23,Liverpool,Man City,4:3,home,4:1,Mohamed Salah,67
2017-2018,23,Liverpool,Man City,4:3,away,4:2,Bernardo Silva,84
2017-2018,23,Liverpool,Man City,4:3,away,4:3,Ilkay Gundogan,90+1
2017-2018,23,Man Utd,Stoke City,3:0,home,1:0,Antonio Valencia,9
2017-2018,23,Man Utd,Stoke City,3:0,home,2:0,Anthony Martial,38
2017-2018,23,Man Utd,Stoke City,3:0,home,3:0,Romelu Lukaku,72
2017-2018,24,Brighton,Chelsea,0:4,away,0:1,Eden Hazard,3
2017-2018,24,Brighton,Chelsea,0:4,away,0:2,Willian,6
2017-2018,24,Brighton,Chelsea,0:4,away,0:3,Eden Hazard,77
2017-2018,24,Brighton,Chelsea,0:4,away,0:4,Victor Moses,89
2017-2018,24,Arsenal,Crystal Palace,4:1,home,1:0,Nacho Monreal,5
2017-2018,24,Arsenal,Crystal Palace,4:1,home,2:0,Alex Iwobi,10
2017-2018,24,Arsenal,Crystal Palace,4:1,home,3:0,Laurent Koscielny,13
2017-2018,24,Arsenal,Crystal Palace,4:1,home,4:0,Alexandre Lacazette,22
2017-2018,24,Arsenal,Crystal Palace,4:1,away,4:1,Luka Milivojevic,78
2017-2018,24,Burnley,Man Utd,0:1,away,0:1,Anthony Martial,54
2017-2018,24,Everton,West Brom,1:1,away,0:1,Jay Rodriguez,7
2017-2018,24,Everton,West Brom,1:1,home,1:1,Oumar Niasse,70
2017-2018,24,Leicester,Watford,2:0,home,1:0,Jamie Vardy,39
2017-2018,24,Leicester,Watford,2:0,home,2:0,Riyad Mahrez,90+1
2017-2018,24,Stoke City,Huddersfield,2:0,home,1:0,Joe Allen,53
2017-2018,24,Stoke City,Huddersfield,2:0,home,2:0,Mame Diouf,69
